key	text	tooltip
#Loc PackedFile;1;text/db/vco_custom_ancillaries.loc		
ancillaries_colour_text_vco_anc_arcane_item_cube_of_darkness	Found in the metal ark beneath Xhotl, the Cube of Darkness is as alien as it is powerful. Viewed up close, this small black cube contains millions of tiny pin-pricks of blinking light, each circling a sphere of pure darkness. By implementing the correct pattern of thoughts, the cube may be opened for a fraction of a second, inexpleciably drawing the very Winds of Magic into its depths.	true
ancillaries_colour_text_vco_anc_enchanted_item_the_crown_of_sorcery	The Crown's whispered advice lured Azhag into an ambush whereupon he was slain by Arkhan the Black, greatest of Nagash's servants. With the Crown now in his possession, the Great Necromancer's return is imminent.	true
ancillaries_colour_text_vco_anc_magic_standard_shroud_of_gilles	This holy relic still bears the image of the Bretonnian hero's body, imprinted with his blood when he was mortally wounded. The Cultists of Tzeentch now use this sacred blood of the slain hero in their profane rituals.	true
ancillaries_colour_text_vco_anc_weapon_ghal_maraz	Ghal Maraz is the legendary hammer of Sigmar and one of the most potent magical artefacts in the entire world. This rune-encrusted weapon has been the symbol of the Emperor's office ever since the founding of the Empire.	true
ancillaries_colour_text_vco_anc_weapon_stolen_hand_of_gods	This ancient artifact of the Old Ones was once wielded by the legendary Saurus Kroq-Gar, before his defeat at the hands of Kairos Fateweaver. It has been repurposed into a weapon of dread power.	true
ancillaries_colour_text_vco_anc_weapon_the_blade_of_realities	Brought to the world by the Old Ones, this weapon shimmers with unnatural power. Legends carved on ancient stone claim the blade exists on every plane of reality simultaneously, and that its edge can sever a creature's soul. No earthly force can stop this deadly blade - it penetrates granite and steel as easily as it slices through flesh and bone.	true
ancillaries_colour_text_vco_anc_weapon_the_heartwood_lance	This lance was crafted from the heart of the Major Oak, the largest tree in Bretonnia, which was shattered by lightning the moment Gilles was struck down. Its blackened wood is covered with tiny carvings depicting the twelve battles of Gilles and, despite being harder than stone and diamond sharp, it is lightweight and beautiful to behold.	true
ancillaries_onscreen_name_vco_anc_arcane_item_cube_of_darkness	Cube of Darkness	true
ancillaries_onscreen_name_vco_anc_enchanted_item_the_crown_of_sorcery	The Crown of Sorcery	true
ancillaries_onscreen_name_vco_anc_magic_standard_shroud_of_gilles	The Shroud of Gilles le Breton	true
ancillaries_onscreen_name_vco_anc_weapon_ghal_maraz	Ghal Maraz	true
ancillaries_onscreen_name_vco_anc_weapon_stolen_hand_of_gods	Repurposed Hand of Gods	true
ancillaries_onscreen_name_vco_anc_weapon_the_blade_of_realities	The Blade of Realities	true
ancillaries_onscreen_name_vco_anc_weapon_the_heartwood_lance	The Heartwood Lance	true
ancillaries_onscreen_name_vco_anc_weapon_scourge	Scourge	true
ancillaries_onscreen_name_vco_anc_weapon_the_sword_of_couronne	Profaned Sword of Couronne	true
ancillaries_onscreen_name_vco_anc_enchanted_item_moonstone	Moonstone of the Hidden Ways	true
ancillaries_onscreen_name_vco_anc_arcane_item_mirror_of_the_ice_queen	Mirror of the Ice Queen	true
ancillaries_colour_text_vco_anc_weapon_scourge	Scourge is a lethal whip, thirsty for blood and wrapped in the bitter curses of many generations of Bray-Shamans. 	true
ancillaries_colour_text_vco_anc_weapon_the_sword_of_couronne	This powerful heirloom was forged from the finest Bretonnian siverline. It catches the sun's rays and magnifies them, dazzling the foe as the wielder makes their death stroke. It is now stained with the golden blood of Bretonnia's Royarch.	true
ancillaries_colour_text_vco_anc_enchanted_item_moonstone	In ages past, the worldroots linked Athel Loren not only with every forest upon the face of the world, but those further afield also. Much has changed since those days. Many pathways are now forever closed, and those that remain can be unsealed only through the use of this ancient Moonstone.	true
ancillaries_colour_text_vco_anc_arcane_item_mirror_of_the_ice_queen	A hand mirror fashioned from flawless ice and bound within an intricate frame of frostwork. A gift from the Ice Queen to Azazel, so that he can gaze upon his beautiful form whenever he deems fit.	true
ancillaries_onscreen_name_vco_anc_weapon_blade_of_corruption	Blade of Corruption	true
ancillaries_colour_text_vco_anc_weapon_blade_of_corruption	This sword was left for 13 days in the dreaded Cauldron of a Thousand Poxes before it was presented to the Leechlord as a gesture of peace from Clan Pestilens.	true
ancillaries_onscreen_name_vco_anc_arcane_item_warp_scroll	Warp Scroll	true
ancillaries_colour_text_vco_anc_arcane_item_warp_scroll	This copied magical script outlines techniques from the great Liber Bubonicus. It has been written in warpstone ink on flayed hides of those unable to withstand the Great Horned Rat's gifts.	true
ancillaries_onscreen_name_vco_anc_arcane_item_yueyins_diamond	Yueyin's Diamond	true
