key	mission_type	localised_title	localised_description	ui_image	ui_icon	generate	prioritised	event_category	set_piece_battle	location_x	location_y	quest_mission	quest_mission_final	trigger_radius	quest_character	sticky_by_default	localised_mission_completed_text	can_be_manually_cancelled
#missions_tables;0;db/missions_tables/vco																		
vco_custom_quest_alarielle_ariel	FIGHT_SET_PIECE_BATTLE	The Tears of Isha	The Wood Elves are dwindling. Some perished whilst warring in other lands, fighting for King Orion’s increasingly bloodthirsty Wild Hunts, but most sickened and died as Ariel’s corruption spread through the forests. The Everqueen has gathered many Asrai and Tree Spirits to her cause from Wood Elf colonies across the world, and now, with the Treeman Oakheart’s aid, she stands ready to confront Ariel directly.\\n	hef/generic	rom_event_mission.png	false	true	Quest	vco_custom_quest_alarielle_ariel	345	410	true	true	10.0000	1432265518	true		false
vco_custom_quest_alarielle_hellebron	FIGHT_SET_PIECE_BATTLE	The Blood Queen Strikes	Disaster! A great Druchii fleet has laid siege to the Straits of Lothern, led by the infamous Lokhir Fellheart. While Sea Lord Aislinn and Prince Tyrion saw to the harbour's defence, a smaller contingent made their way into the Inner Sea, masquerading as civilian ships fleeing the conflict. They are led by the Blood Queen of Har Ganeth, Crone Hellebron, and are sailing with all speed for the Isle of the Dead. Whatever her designs for the Great Vortex, they cannot come to pass!	hef/generic	rom_event_mission.png	false	false	Quest	vco_alarielle_battle_crones_folly	172	431	true	true	10.0000	1432265518	true		false
vco_custom_quest_belegar_eight_peaks	FIGHT_SET_PIECE_BATTLE	Eight Peaks Eternal	Since recapturing the hold, Belegar and his kinsmen have withstood plots, alliances, ambushes, super-weapons, and untold deathtraps. Three times they have been rescued by relief forces that broke through the cordon of foes to bring much-needed reinforcements, the last army led by Thorgrim himself. Belegar has sworn a mighty oath to retake Karak Eight Peaks and, inch by bloody inch, Clan Angrund have expanded their foothold. Now, his foes make one final assault with the last reserves of their strength.\\n	dwf/generic	rom_event_mission.png	false	false	Quest	vco_custom_quest_belegar_eight_peaks	503	351	true	true	0.0000	33713811	true	Success! You have achieved one of your goals.	false
vco_custom_quest_belegar_skavenblight	FIGHT_SET_PIECE_BATTLE	The Day of Reckoning	Beneath the Blighted Marshes, the source of the Skaven infestation was discovered: a massive labyrinthine undercity; the largest ever seen by any Dwarf in living memory. Could this be the fabled heart of the Skaven empire? Belegar sends word to the High King, who calls for all able-bodied dawi to march on the city. Many grudges will be avenged this day!\\n	dwf/generic	rom_event_mission.png	false	false	Quest	vco_custom_quest_belegar_skavenblight	314	355	true	true	0.0000	33713811	true	Success! You have achieved one of your goals.	false
vco_custom_quest_hellebron_alarielle	FIGHT_SET_PIECE_BATTLE	The Desecration of Avelorn	After making landfall on the shores of Ulthuan, Hellebron wasted no time slaughtering the Elves of Nagarythe and offering their hearts up to her murderous patron's shrine. With the Sword of Khaine now in hand, she leads her Blood Voyage into the verdant forests of Avelorn, leaving a trail of ash and blood in her wake. Such acts of desecration will surely draw the ire of the Everqueen, but Hellebron is unconcerned. Let her come. Her royal blood will make a fine offering to Khaine!\\n\\n	def/generic	rom_event_mission.png	false	false	Quest	vco_custom_quest_hellebron_alarielle	171	463	true	true	10.0000	1775671531	true		false
vco_custom_quest_karl_franz_conclave_light	FIGHT_SET_PIECE_BATTLE	The Storm of Chaos	From the Chaos Wastes, Archaon, Lord of the End Times, marches south into the lands of Kislev, a vast horde of daemons, beastmen and northmen following in his wake. The Ice Queen calls for aid, and Karl Franz answers. After assembling a grand alliance of dwarfs, elves and men, he marches north with all haste to meet the Everchosen's forces head-on.\\n	emp/generic	rom_event_mission.png	false	false	Quest	vco_custom_quest_karl_franz_conclave_light	489	599	true	true	0.0000	341461509	true	Success! You have achieved one of your goals.	false
vco_custom_quest_queek_eight_peaks	FIGHT_SET_PIECE_BATTLE	Eight Peaks Eternal	Since Clan Mors swarmed up from the depths to claim Karak Eight Peaks, Queek has been fighting a constant war of attrition against the last holdouts of the Dwarfs and the Greenskins. Now, the time has come to be rid of them once and for all.\\n	skv/generic	rom_event_mission.png	false	false	Quest	vco_custom_quest_queek_eight_peaks	503	351	true	true	0.0000	778465562	true	Success! You have achieved one of your goals.	false
vco_custom_quest_skarsnik_eight_peaks	FIGHT_SET_PIECE_BATTLE	Eight Peaks Eternal	Since recapturing the Eight Peaks from his mutinous subordinates, Skarsnik has repelled repeated assaults from both the Dwarfs and the Skaven. Now, his foes make one final assault with the last reserves of their strength. Break them here and now, and they will never again threaten the Eight Peaks!\\n	grn/generic	rom_event_mission.png	false	false	Quest	vco_custom_quest_skarsnik_eight_peaks	503	351	true	true	0.0000	1607251777	true	Success! You have achieved one of your goals.	false
vco_custom_quest_throt_ghoritch	FIGHT_SET_PIECE_BATTLE	The Siege of Hell Pit	Throt's ambitions in Norsca have drawn the attention of the Everchosen himself. He has gathered a great host of men and daemons to his banner and now marches on Hell Pit, intent on purging the vermin infestation at its source before it threatens to spread beyond even his control. Furious at the no-fur's impudence, Throt summons his most vicious creations and hurries to reinforce the garrison before battle is joined.\\n\\n	skv/generic	rom_event_mission.png	false	false	Quest	vco_custom_quest_throt_ghoritch	468	620	true	true	10.0000	1806854659	true	Success! You have achieved one of your goals.	true
